"Well","Cycle","Target","Rn","dRn","Treatment","Minutes","Replica"
"A8",6,"RPL3_e9e10",1.2135,-6e-04,"297","120","2"
"A8",7,"RPL3_e9e10",1.2233,5e-04,"297","120","2"
"A8",8,"RPL3_e9e10",1.2344,0.0029,"297","120","2"
"A8",9,"RPL3_e9e10",1.2468,0.0065,"297","120","2"
"A8",10,"RPL3_e9e10",1.2653,0.0163,"297","120","2"
"A8",11,"RPL3_e9e10",1.3006,0.0429,"297","120","2"
"A8",12,"RPL3_e9e10",1.3608,0.0944,"297","120","2"
"A8",13,"RPL3_e9e10",1.4761,0.201,"297","120","2"
"A8",14,"RPL3_e9e10",1.6892,0.4054,"297","120","2"
"A8",15,"RPL3_e9e10",2.0778,0.7853,"297","120","2"
"A8",16,"RPL3_e9e10",2.6506,1.3494,"297","120","2"
"A8",17,"RPL3_e9e10",3.355,2.0451,"297","120","2"
"A8",18,"RPL3_e9e10",4.0958,2.7772,"297","120","2"
"A8",19,"RPL3_e9e10",4.8722,3.5449,"297","120","2"
"A8",20,"RPL3_e9e10",5.6449,4.3089,"297","120","2"
"A8",21,"RPL3_e9e10",6.4254,5.0807,"297","120","2"
"A8",22,"RPL3_e9e10",7.1706,5.8171,"297","120","2"
"A8",23,"RPL3_e9e10",7.8627,6.5005,"297","120","2"
"A8",24,"RPL3_e9e10",8.5044,7.1335,"297","120","2"
"A8",25,"RPL3_e9e10",9.1288,7.7492,"297","120","2"
"A8",26,"RPL3_e9e10",9.6748,8.2865,"297","120","2"
"A8",27,"RPL3_e9e10",10.1655,8.7685,"297","120","2"
"A8",28,"RPL3_e9e10",10.623,9.2174,"297","120","2"
"A8",29,"RPL3_e9e10",11.0307,9.6163,"297","120","2"
"A8",30,"RPL3_e9e10",11.4174,9.9943,"297","120","2"
"A8",31,"RPL3_e9e10",11.7474,10.3156,"297","120","2"
"A8",32,"RPL3_e9e10",12.1181,10.6776,"297","120","2"
"A8",33,"RPL3_e9e10",12.3906,10.9414,"297","120","2"
"A8",34,"RPL3_e9e10",12.6739,11.2159,"297","120","2"
"A8",35,"RPL3_e9e10",12.9164,11.4498,"297","120","2"
"A8",36,"RPL3_e9e10",13.1037,11.6283,"297","120","2"
"A8",37,"RPL3_e9e10",13.3457,11.8617,"297","120","2"
"A8",38,"RPL3_e9e10",13.5832,12.0904,"297","120","2"
"A8",39,"RPL3_e9e10",13.7203,12.2189,"297","120","2"
"A8",40,"RPL3_e9e10",13.8977,12.3876,"297","120","2"
"A9",1,"RPL3_e9e10",1.1094,-0.0037,"297","240","1"
"A9",2,"RPL3_e9e10",1.1144,-0.0039,"297","240","1"
"A9",3,"RPL3_e9e10",1.1258,0.0023,"297","240","1"
"A9",4,"RPL3_e9e10",1.1318,0.0032,"297","240","1"
"A9",5,"RPL3_e9e10",1.1307,-0.0031,"297","240","1"
"A9",6,"RPL3_e9e10",1.1312,-0.0077,"297","240","1"
"A9",7,"RPL3_e9e10",1.1445,4e-04,"297","240","1"
"A9",8,"RPL3_e9e10",1.1543,0.005,"297","240","1"
"A9",9,"RPL3_e9e10",1.1627,0.0083,"297","240","1"
"A9",10,"RPL3_e9e10",1.1745,0.0148,"297","240","1"
"A9",11,"RPL3_e9e10",1.2011,0.0363,"297","240","1"
"A9",12,"RPL3_e9e10",1.2491,0.0791,"297","240","1"
"A9",13,"RPL3_e9e10",1.3323,0.1571,"297","240","1"
"A9",14,"RPL3_e9e10",1.4975,0.3172,"297","240","1"
"A9",15,"RPL3_e9e10",1.8085,0.623,"297","240","1"
"A9",16,"RPL3_e9e10",2.3406,1.1499,"297","240","1"
